编码,所在区,性别,年龄,文化程度,从业状况,婚姻,常住人口,户口状况,家庭收入,现住面积,人均面积,房屋产权,住房满意,未来三年,计划面积,计划户型,购买类型,地理位置,购房价位,是否贷款,mj
21373,2,1,40,2,3,1,5,1,20000,12,2.4,1,2,2,80,21,2,5,7,2,1
21362,2,1,33,1,2,1,3,1,7000,9,3,1,2, ,80,21,2,5,8,1,1
21510,2,2,35,1,2,1,3,1,9600,9,3,1,2,1, , , , , , ,1
21291,2,1,34,2,2,1,3,1,12000,9,3,1,2, ,70,21,2,34,5,2,1
32350,3,1,35,1,5,1,3,1,3000,9,3,1,2,1, , , , , , ,1
42576,4,2,40,2,5,1,4,1,8400,13,3.25,1,2,2,100,31,1,32,6,2,1
10128,1,1,35,1,5,1,3,1,6000,10,3.33333333333333,1,2,2,40,1,1,31,4,1,1
32134,3,1,34,2,4,1,3,2,10000,10,3.33333333333333,1,2,2,30,21,2,33,6,1,1
32369,3,1,48,1,6,1,2,2,6000,7,3.5,1,1,1, , , , , , ,1
31915,3,2,28,2,3,1,5,1,12000,18,3.6,32,2,1, , , , , , ,1
21392,2,2,32,1,2,1,3,1,7200,11,3.66666666666667,1,2,2,80,21,2,5,5,1,1
10122,1,1,45,3,5,1,3,1,9000,11.9,3.96666666666667,1,2,2,60,21,1,31,4,2,1
10478,1,2,38,2,2,1,5,1,2500,20,4,1,2,1, , , , , , ,1
32413,3,2,23,1,2,1,5,1,10000,20,4,33,2, ,80,21,2,5,10,1,1
21388,2,1,32,1,2,1,3,1,12000,12,4,1,2, ,80,21,2,5,6,1,1
21391,2,1,50,1,2,1,3,1,12000,12,4,1,2,1, , , , , , ,1
21396,2,2,32,1,2,1,3,1,12000,12,4,1,2,1, , , , , , ,1
10507,1,1,25,1,3,1,3,1,4800,12,4,1,2,1, , , , , , ,1
21501,2,2,35,1,5,1,3,1,7000,12,4,1,2,1, , , , , , ,1
21434,2,2,30,1,5,1,3,1,8000,12,4,1,2,1, , , , , , ,1
21424,2,1,33,1,5,1,3,1,12000,12,4,1,2,1, , , , , , ,1
32366,3,1,23,1,3,1,2,2,5000,8,4,1,2,1, , , , , , ,1
21382,2,2,26,1,2,1,3,1,5000,13,4.33333333333333,1,2,1, , , , , , ,1
21636,2,1,47,2,2,1,3,1,10000,13,4.33333333333333,1,2,1, , , , , , ,1
21420,2,1,30,1,2,1,3,1,12000,13,4.33333333333333,1,2, ,70,21,1,34,5,2,1
31906,3,1,33,2,3,1,8,1,20000,36,4.5,1,2,1, , , , , , ,1
21682,2,2,53,2,6,1,5,1,5000,23,4.6,1,2,1, , , , , , ,1
