编码,所在区,性别,年龄,文化程度,从业状况,婚姻,常住人口,户口状况,家庭收入,现住面积,人均面积,房屋产权,住房满意,未来三年,计划面积,计划户型,购买类型,地理位置,购房价位,是否贷款,mj
21373,B,男,40,高中（中专）,私营企业,已婚,5,本市户口,20000,12,2.4,无产权,不满意,购买,80,两室一厅,多层商品房,其它,7,申请贷款,10平米以下
21362,B,男,33,初中及以下,国营企业,已婚,3,本市户口,7000,9,3,无产权,不满意, ,80,两室一厅,多层商品房,其它,8,自筹,10平米以下
21510,B,女,35,初中及以下,国营企业,已婚,3,本市户口,9600,9,3,无产权,不满意,不买, , , , , , ,10平米以下
21291,B,男,34,高中（中专）,国营企业,已婚,3,本市户口,12000,9,3,无产权,不满意, ,70,两室一厅,多层商品房,京广铁路以西B路以北,5,申请贷款,10平米以下
32350,C,男,35,初中及以下,失业,已婚,3,本市户口,3000,9,3,无产权,不满意,不买, , , , , , ,10平米以下
42576,D,女,40,高中（中专）,失业,已婚,4,本市户口,8400,13,3.25,无产权,不满意,购买,100,三室一厅,二手房,京广铁路以东A大道以南,6,申请贷款,10平米以下
10128,A,男,35,初中及以下,失业,已婚,3,本市户口,6000,10,3.33333333333333,无产权,不满意,购买,40,一室一厅,二手房,京广铁路以东A大道以北,4,自筹,10平米以下
32134,C,男,34,高中（中专）,大专院校科研单位,已婚,3,外地户口,10000,10,3.33333333333333,无产权,不满意,购买,30,两室一厅,多层商品房,京广铁路以西B路以南,6,自筹,10平米以下
32369,C,男,48,初中及以下,其它,已婚,2,外地户口,6000,7,3.5,无产权,满意,不买, , , , , , ,10平米以下
31915,C,女,28,高中（中专）,私营企业,已婚,5,本市户口,12000,18,3.6,经济适用房,不满意,不买, , , , , , ,10平米以下
21392,B,女,32,初中及以下,国营企业,已婚,3,本市户口,7200,11,3.66666666666667,无产权,不满意,购买,80,两室一厅,多层商品房,其它,5,自筹,10平米以下
10122,A,男,45,大学（专、本科）,失业,已婚,3,本市户口,9000,11.9,3.96666666666667,无产权,不满意,购买,60,两室一厅,二手房,京广铁路以东A大道以北,4,申请贷款,10平米以下
10478,A,女,38,高中（中专）,国营企业,已婚,5,本市户口,2500,20,4,无产权,不满意,不买, , , , , , ,10平米以下
32413,C,女,23,初中及以下,国营企业,已婚,5,本市户口,10000,20,4,多层商品房,不满意, ,80,两室一厅,多层商品房,其它,10,自筹,10平米以下
21388,B,男,32,初中及以下,国营企业,已婚,3,本市户口,12000,12,4,无产权,不满意, ,80,两室一厅,多层商品房,其它,6,自筹,10平米以下
21391,B,男,50,初中及以下,国营企业,已婚,3,本市户口,12000,12,4,无产权,不满意,不买, , , , , , ,10平米以下
